background	FASN_negative	FASN_positive
SLCO4A1	SLCO4A1	CDC34
PGRMC2	PGRMC2	PRKCE
LDLR	LDLR	SMARCC2
RABL3	RABL3	EIF3A
C12orf49	C12orf49	HBS1L
ACSL1	ACSL1	YES1
PAPSS1	PAPSS1	R3HDM1
ARL1	ARL1	NDC1
LCMT1	LCMT1	PAPD7
INPP5K	INPP5K	PTP4A1
SREBF2	SREBF2	CTNNA1
MOGS	MOGS	KIAA0922
LDLRAP1	LDLRAP1	CDCA3
JTB	JTB	HOXA13
DOLPP1	DOLPP1	ZNF460
TPK1	TPK1	ZBTB7A
RAB18	RAB18	NELFA
ALG9	ALG9	RPL35
ALG12	ALG12	TIA1
MBTPS2	MBTPS2	PHF10
INPP4A	INPP4A	PTP4A2
KCTD5	KCTD5	EIF3D
SAR1A	SAR1A	PIM3
E2F7	E2F7	ATP1B3
ACSL3	ACSL3	MTRR
SLC39A9	SLC39A9	PSMD11
ALG3	ALG3	HNRNPAB
TM9SF3	TM9SF3	RPS3
PRUNE	PRUNE	DNTTIP2
MPDU1	MPDU1	ZNF787
CNOT2	CNOT2	PMAIP1
MON2	MON2	FRMD6
PHF12	PHF12	DDX21
WDR83OS	WDR83OS	HAX1
MTF2	MTF2	G3BP1
SMARCD1	SMARCD1	DCUN1D5
MBTD1	MBTD1	SBF1
ASPM	ASPM	RRP12
PTAR1	PTAR1	PRDM4
SLC33A1	SLC33A1	PFAS
BRD9	BRD9	LSM12
ALDH18A1	ALDH18A1	KIAA0020
TSC1	TSC1	RBM26
SGPL1	SGPL1	EIF3G
DBF4	DBF4	MBNL3
BAG6	BAG6	ZNF280C
ALDH3A2	ALDH3A2	BAZ1B
INPPL1	INPPL1	BZW1
RAB3GAP2	RAB3GAP2	DNAJC9
PPHLN1	PPHLN1	NUFIP2
ZSWIM6	ZSWIM6	TRIM33
DOT1L	DOT1L	EIF4G3
TSC2	TSC2	ARF4
RBM7	RBM7	BEND3
MCM8	MCM8	POMP
EAF1	EAF1	RANBP3
CAPN15	CAPN15	CEBPZ
CEPT1	CEPT1	SKP2
ZFX	ZFX	ABCF2
FIBP	FIBP	TRIM7
MAP4K4	MAP4K4	L3MBTL3
GTPBP2	GTPBP2	RNF214
SMPD1	SMPD1	ACTB
ILF3	ILF3	SAMD1
SCAP	SCAP	CDKN2AIP
NIPBL	NIPBL	MAX
USP14	USP14	COQ2
TBC1D20	TBC1D20	PSMD6
CUL5	CUL5	TAF1D
UBE2T	UBE2T	MPP6
GNPTAB	GNPTAB	NXT1
CDK5	CDK5	CDH2
HIST1H1C	HIST1H1C	HCFC2
CKAP2L	CKAP2L	TMEM245
MFSD2A	MFSD2A	SKIV2L
PPME1	PPME1	PDLIM7
DET1	DET1	SLC16A1
SZT2	SZT2	CCND3
CTR9	CTR9	SAV1
CRAMP1L	CRAMP1L	YY1
DERL2	DERL2	ARID4B
TFAP4	TFAP4	CUL4B
CLASP2	CLASP2	SLC25A22
ASF1A	ASF1A	MPHOSPH10
RAB10	RAB10	SPECC1L
BIRC6	BIRC6	SSR1
UBA5	UBA5	SLC39A10
UBE2G2	UBE2G2	WDTC1
CLCC1	CLCC1	NHLRC2
TSSC1	TSSC1	EIF4H
KPNA4	KPNA4	SERF2
LPCAT1	LPCAT1	SHMT2
C12orf66	C12orf66	AEBP2
GATAD1	GATAD1	MTX2
SRSF5	SRSF5	PNPO
PRKCSH	PRKCSH	BSG
MGAT2	MGAT2	AGPAT6
MPHOSPH8	MPHOSPH8	HSPH1
MTF1	MTF1	EFTUD1
MORC2	MORC2	KLF16
MAU2	MAU2	NCBP2
SOX4	SOX4	RPL13
UBE2F	UBE2F	H2AFZ
PES1	PES1	BAK1
UFC1	UFC1	MLLT1
VPS52	VPS52	LCA5
FCHO2	FCHO2	HIC2
ALG8	ALG8	POLR1E
PHF5A	PHF5A	METTL23
ILF2	ILF2	RPS5
ZFP36L2	ZFP36L2	DIAPH3
OAZ1	OAZ1	PJA2
ACAT2	ACAT2	DRG1
NPRL2	NPRL2	CBX3
ZFAT	ZFAT	GRB2
RFWD2	RFWD2	ACTG1
NOSIP	NOSIP	RNF130
GTF2I	GTF2I	SF3B3
GCLC	GCLC	NARG2
PNRC2	PNRC2	ZNF609
CHKA	CHKA	KLLN
NAA35	NAA35	NCOA5
